update_date,code_name,code
20260410,平安银行,sz.000001
20260410,万科A,sz.000002
20260410,中兴通讯,sz.000063
20260410,TCL科技,sz.000100
20260410,中联重科,sz.000157
20260410,申万宏源,sz.000166
20260410,东方盛虹,sz.000301
20260410,美的集团,sz.000333
20260410,潍柴动力,sz.000338
20260410,藏格矿业,sz.000408
20260410,徐工机械,sz.000425
20260410,云南白药,sz.000538
20260410,泸州老窖,sz.000568
20260410,古井贡酒,sz.000596
20260410,中油资本,sz.000617
20260410,长安汽车,sz.000625
20260410,铜陵有色,sz.000630
20260410,格力电器,sz.000651
20260410,长春高新,sz.000661
20260410,中信特钢,sz.000708
20260410,京东方A,sz.000725
20260410,中航西飞,sz.000768
20260410,广发证券,sz.000776
20260410,北新建材,sz.000786
20260410,盐湖股份,sz.000792
20260410,云铝股份,sz.000807
20260410,五 粮 液,sz.000858
20260410,新 希 望,sz.000876
20260410,双汇发展,sz.000895
20260410,紫光股份,sz.000938
20260410,华东医药,sz.000963
20260410,山金国际,sz.000975
20260410,浪潮信息,sz.000977
20260410,山西焦煤,sz.000983
20260410,华润三九,sz.000999
20260410,国货航,sz.001391
20260410,招商公路,sz.001965
20260410,招商蛇口,sz.001979
20260410,新和成,sz.002001
20260410,分众传媒,sz.002027
20260410,思源电气,sz.002028
20260410,紫光国微,sz.002049
20260410,三花智控,sz.002050
20260410,国轩高科,sz.002074
20260410,宁波银行,sz.002142
20260410,中航光电,sz.002179
20260410,科大讯飞,sz.002230
20260410,大华股份,sz.002236
20260410,歌尔股份,sz.002241
20260410,上海莱士,sz.002252
20260410,洋河股份,sz.002304
20260410,海大集团,sz.002311
20260410,顺丰控股,sz.002352
20260410,北方华创,sz.002371
20260410,东山精密,sz.002384
20260410,海康威视,sz.002415
20260410,科伦药业,sz.002422
20260410,晶澳科技,sz.002459
20260410,赣锋锂业,sz.002460
20260410,沪电股份,sz.002463
20260410,天齐锂业,sz.002466
20260410,立讯精密,sz.002475
20260410,荣盛石化,sz.002493
20260410,比亚迪,sz.002594
20260410,领益智造,sz.002600
20260410,龙佰集团,sz.002601
20260410,光启技术,sz.002625
20260410,卫星化学,sz.002648
20260410,天赐材料,sz.002709
20260410,牧原股份,sz.002714
20260410,国信证券,sz.002736
20260410,深南电路,sz.002916
20260410,德赛西威,sz.002920
20260410,鹏鼎控股,sz.002938
20260410,中国广核,sz.003816
20260410,亿纬锂能,sz.300014
20260410,爱尔眼科,sz.300015
20260410,同花顺,sz.300033
20260410,东方财富,sz.300059
20260410,智飞生物,sz.300122
20260410,汇川技术,sz.300124
20260410,光线传媒,sz.300251
20260410,阳光电源,sz.300274
20260410,中际旭创,sz.300308
20260410,晶盛机电,sz.300316
20260410,泰格医药,sz.300347
20260410,天孚通信,sz.300394
20260410,三环集团,sz.300408
20260410,芒果超媒,sz.300413
20260410,昆仑万维,sz.300418
20260410,蓝思科技,sz.300433
20260410,润泽科技,sz.300442
20260410,胜宏科技,sz.300476
20260410,温氏股份,sz.300498
20260410,新易盛,sz.300502
20260410,亿联网络,sz.300628
20260410,圣邦股份,sz.300661
20260410,宁德时代,sz.300750
20260410,康龙化成,sz.300759
20260410,迈瑞医疗,sz.300760
20260410,卓胜微,sz.300782
20260410,指南针,sz.300803
20260410,新产业,sz.300832
20260410,安克创新,sz.300866
20260410,爱美客,sz.300896
20260410,华利集团,sz.300979
20260410,金龙鱼,sz.300999
20260410,软通动力,sz.301236
20260410,华大九天,sz.301269
20260410,中航成飞,sz.302132
20260410,浦发银行,sh.600000
20260410,上海机场,sh.600009
20260410,包钢股份,sh.600010
20260410,华能国际,sh.600011
20260410,华夏银行,sh.600015
20260410,民生银行,sh.600016
20260410,上港集团,sh.600018
20260410,宝钢股份,sh.600019
20260410,浙能电力,sh.600023
20260410,华能水电,sh.600025
20260410,中远海能,sh.600026
20260410,华电国际,sh.600027
20260410,中国石化,sh.600028
20260410,南方航空,sh.600029
20260410,中信证券,sh.600030
20260410,三一重工,sh.600031
20260410,招商银行,sh.600036
20260410,四川路桥,sh.600039
20260410,保利发展,sh.600048
20260410,中国联通,sh.600050
20260410,国投资本,sh.600061
20260410,宇通客车,sh.600066
20260410,同仁堂,sh.600085
20260410,特变电工,sh.600089
20260410,上汽集团,sh.600104
20260410,北方稀土,sh.600111
20260410,中国东航,sh.600115
20260410,中国船舶,sh.600150
20260410,巨化股份,sh.600160
20260410,天坛生物,sh.600161
20260410,中国巨石,sh.600176
20260410,生益科技,sh.600183
20260410,兖矿能源,sh.600188
20260410,复星医药,sh.600196
20260410,南山铝业,sh.600219
20260410,圆通速递,sh.600233
20260410,恒瑞医药,sh.600276
20260410,万华化学,sh.600309
20260410,恒力石化,sh.600346
20260410,江西铜业,sh.600362
20260410,中航机载,sh.600372
20260410,宁沪高速,sh.600377
20260410,国电南瑞,sh.600406
20260410,小商品城,sh.600415
20260410,华鲁恒升,sh.600426
20260410,片仔癀,sh.600436
20260410,通威股份,sh.600438
20260410,士兰微,sh.600460
20260410,中国动力,sh.600482
20260410,中金黄金,sh.600489
20260410,海南机场,sh.600515
20260410,贵州茅台,sh.600519
20260410,中天科技,sh.600522
20260410,山东黄金,sh.600547
20260410,恒生电子,sh.600570
20260410,长电科技,sh.600584
20260410,海螺水泥,sh.600585
20260410,用友网络,sh.600588
20260410,青岛啤酒,sh.600600
20260410,福耀玻璃,sh.600660
20260410,川投能源,sh.600674
20260410,海尔智家,sh.600690
20260410,华域汽车,sh.600741
20260410,中航沈飞,sh.600760
20260410,国电电力,sh.600795
20260410,新奥股份,sh.600803
20260410,山西汾酒,sh.600809
20260410,宝信软件,sh.600845
20260410,东方电气,sh.600875
20260410,国投电力,sh.600886
20260410,伊利股份,sh.600887
20260410,航发动力,sh.600893
20260410,长江电力,sh.600900
20260410,三峡能源,sh.600905
20260410,中泰证券,sh.600918
20260410,江苏银行,sh.600919
20260410,杭州银行,sh.600926
20260410,华电新能,sh.600930
20260410,中国海油,sh.600938
20260410,中国移动,sh.600941
20260410,东方证券,sh.600958
20260410,宝丰能源,sh.600989
20260410,招商证券,sh.600999
20260410,大秦铁路,sh.601006
20260410,南京银行,sh.601009
20260410,隆基绿能,sh.601012
20260410,宁波港,sh.601018
20260410,春秋航空,sh.601021
20260410,赛轮轮胎,sh.601058
20260410,信达证券,sh.601059
20260410,中信建投,sh.601066
20260410,渝农商行,sh.601077
20260410,中国神华,sh.601088
20260410,恒立液压,sh.601100
20260410,中国国航,sh.601111
20260410,中国化学,sh.601117
20260410,赛力斯,sh.601127
20260410,首创证券,sh.601136
20260410,工业富联,sh.601138
20260410,兴业银行,sh.601166
20260410,北京银行,sh.601169
20260410,中国铁建,sh.601186
20260410,国泰海通,sh.601211
20260410,陕西煤业,sh.601225
20260410,上海银行,sh.601229
20260410,红塔证券,sh.601236
20260410,广汽集团,sh.601238
20260410,农业银行,sh.601288
20260410,青岛港,sh.601298
20260410,中国平安,sh.601318
20260410,中国人保,sh.601319
20260410,交通银行,sh.601328
20260410,新华保险,sh.601336
20260410,三六零,sh.601360
20260410,兴业证券,sh.601377
20260410,中国中铁,sh.601390
20260410,工商银行,sh.601398
20260410,国联民生,sh.601456
20260410,中国铝业,sh.601600
20260410,中国太保,sh.601601
20260410,上海医药,sh.601607
20260410,中国中冶,sh.601618
20260410,中国人寿,sh.601628
20260410,长城汽车,sh.601633
20260410,邮储银行,sh.601658
20260410,中国建筑,sh.601668
20260410,中国电建,sh.601669
20260410,华泰证券,sh.601688
20260410,拓普集团,sh.601689
20260410,中国卫通,sh.601698
20260410,中国电信,sh.601728
20260410,中国中车,sh.601766
20260410,光大证券,sh.601788
20260410,中国交建,sh.601800
20260410,中海油服,sh.601808
20260410,京沪高铁,sh.601816
20260410,光大银行,sh.601818
20260410,沪农商行,sh.601825
20260410,成都银行,sh.601838
20260410,中国石油,sh.601857
20260410,中国能建,sh.601868
20260410,招商轮船,sh.601872
20260410,正泰电器,sh.601877
20260410,浙商证券,sh.601878
20260410,中国银河,sh.601881
20260410,中国中免,sh.601888
20260410,中煤能源,sh.601898
20260410,紫金矿业,sh.601899
20260410,方正证券,sh.601901
20260410,浙商银行,sh.601916
20260410,中远海控,sh.601919
20260410,建设银行,sh.601939
20260410,中国核电,sh.601985
20260410,中国银行,sh.601988
20260410,中金公司,sh.601995
20260410,中信银行,sh.601998
20260410,中科曙光,sh.603019
20260410,公牛集团,sh.603195
20260410,药明康德,sh.603259
20260410,合盛硅业,sh.603260
20260410,海天味业,sh.603288
20260410,华勤技术,sh.603296
20260410,今世缘,sh.603369
20260410,万泰生物,sh.603392
20260410,豪威集团,sh.603501
20260410,华友钴业,sh.603799
20260410,瑞芯微,sh.603893
20260410,兆易创新,sh.603986
20260410,洛阳钼业,sh.603993
20260410,德业股份,sh.605117
20260410,东鹏饮料,sh.605499
20260410,澜起科技,sh.688008
20260410,中国通号,sh.688009
20260410,中微公司,sh.688012
20260410,传音控股,sh.688036
20260410,海光信息,sh.688041
20260410,龙芯中科,sh.688047
20260410,盛美上海,sh.688082
20260410,金山办公,sh.688111
20260410,沪硅产业,sh.688126
20260410,石头科技,sh.688169
20260410,时代电气,sh.688187
20260410,晶科能源,sh.688223
20260410,寒武纪,sh.688256
20260410,联影医疗,sh.688271
20260410,大全能源,sh.688303
20260410,华润微,sh.688396
20260410,阿特斯,sh.688472
20260410,百利天恒,sh.688506
20260410,中芯国际,sh.688981
